na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
2 roky,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože tu píšu blog,  Protože rád čtu blogy,  Kvůli přehledu křesťanských akcí","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi si rozšířit obzory,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,jednou nebo několikrát týdně,,jednou nebo několikrát týdně,,,,,"ani souhlas, ani nesouhlas",zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,Nepříjemné komentáře od cizích lidí,Urážely mě,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,,,,,žena,19-20,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy,  ŽMM","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Být znejistěn ohledně nauky vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ano,vůbec,denně,alespoň jednou týdně,vůbec,alespoň jednou týdně,,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,,,vícekrát za den,vícekrát za den,vůbec,vůbec,denně,každý den,vůbec,každý den,vůbec,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,spíše nesouhlasím,je mi to jedno,vůbec nesouhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí","Vyjadřovaly jiný názor, než mám já, Pisatel psal, že nemám pravdu",vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - technický obor
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve,  Získat plnomocné odpustky,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,denně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vícekrát za den,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ne,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,je mi to jedno,spíše souhlasím,spíše nesouhlasím,je mi to jedno,vůbec nesouhlasím,Nepříjemné komentáře od cizích lidí,Podatel nerespektoval nazor ostatnich,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Díky diskusi si rozšířit obzory,  Někoho ""pořádně setřít"",  Lépe poznat nauku vlastní církve,  Být znejistěn ohledně nauky vlastní církve",ano,méně než jednou týdně,vůbec,méně než jednou týdně,alespoň jednou týdně,denně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,,,vícekrát za den,,,,ne,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,vůbec nesouhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,"ani souhlas, ani nesouhlas",,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,je mi to jedno,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné vzkazy od kamarádů","Nebyly správně argumentované, přesto se tak tvářily.",spíše souhlasím,spíše nesouhlasím,je mi to jedno,Nebyly argumentované.,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,muž,30-40,"ne, vzdělání mám již ukončené",,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
9 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Najít nové kamarády",ano,vůbec,alespoň jednou týdně,vůbec,alespoň jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,,,,,,,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,spíše souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
9 let,díky propagaci na akci,několikrát za měsíc,"Kvůli přehledu křesťanských akcí,  fotografie","Psaní blogu,  Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi si rozšířit obzory,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít nové kamarády",ano,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,každý den,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,vůbec nesouhlasím,Nepříjemné vzkazy od kamarádů,,,,,"Byly od kamaráda, Pisatel psal, že nemám pravdu",vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,žena,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,SŠ - všeobecná (gymnázium nebo obdobný typ školy)
6 let,náhodným brouzdáním na internetu,několikrát denně (nebo je mám otevřené celý den),"Protože rád čtu blogy,  Protože rád diskutuji,  Sleduji diskuze","Čtení blogů,  Diskutování s ostatními uživateli","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Díky diskusi si rozšířit obzory",ne,méně než jednou týdně,denně,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,denně,méně než jednou týdně,méně než jednou týdně,vůbec,,jednou nebo několikrát týdně,vícekrát za den,každý den,několikrát za měsíc nebo méně,několikrát za měsíc nebo méně,vůbec,,spíše nesouhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,"Je to prostor pro diskusi mezi křesťany, jaký na českém internetu nemá konkurenci.",spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,muž,40-50,"ne, vzdělání mám již ukončené",,VŠ přírodovědný i humanitní
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),Protože rád čtu blogy,"Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Díky diskusi si rozšířit obzory,  Lépe poznat nauku vlastní církve",ano,vůbec,vůbec,vůbec,vícekrát za den,denně,alespoň jednou týdně,vůbec,vůbec,denně,vůbec,vůbec,vůbec,vícekrát za den,vůbec,vůbec,vůbec,vůbec,vícekrát za den,vůbec,vůbec,vůbec,vůbec,vůbec,,"ani souhlas, ani nesouhlas",zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,"Nepříjemné komentáře od kamarádů, Nepříjemné komentáře od cizích lidí","Nevěděl/a jsem, od koho jsou, Vyjadřovaly jiný názor, než mám já, Urážely mě",vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
10 let,díky propagaci na akci,několikrát za měsíc,Protože rád čtu blogy,Čtení blogů,více aktivit,ano,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,,,vůbec,méně než jednou týdně,,,méně než jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,,spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,,celkově proč signály.cz :-),spíše souhlasím,,,,,,,muž,30-40,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
10 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),Protože rád čtu blogy,Diskutování s ostatními uživateli,"Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a",ano,vůbec,denně,méně než jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vícekrát za den,alespoň jednou týdně,vůbec,vůbec,vůbec,vícekrát za den,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,vůbec,ne,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,kvůli společenství ŽMM,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Psát si se svými kamarády,  Najít nové kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vícekrát za den,denně,méně než jednou týdně,vůbec,méně než jednou týdně,vícekrát za den,vůbec,vícekrát za den,několikrát za měsíc nebo méně,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,vůbec nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
9 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Čtení blogů,  Čtení redakčního obsahu,  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády,  Najít nové kamarády",ne,vůbec,vícekrát za den,alespoň jednou týdně,denně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vícekrát za den,denně,méně než jednou týdně,vůbec,,vícekrát za den,vůbec,jednou nebo několikrát týdně,vícekrát za den,vůbec,vůbec,ne,vůbec nesouhlasím,spíše souhlasím,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,"Na signálech jsem proto, že mě přibližují Bohu a pomáhají mi lépe žít křesťanským životem.",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",VŠ - humanitní obor,VŠ - humanitní obor
3 roky,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které znám jenom ze Signálů,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Hledání nových kamarádů","Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil",ano,alespoň jednou týdně,denně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,každý den,vůbec,vůbec,vůbec,vůbec,vůbec,,spíše souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,více než 50 let,,,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
